eng_text,ksl_text
MESSAGE ME THEN, ME YOU MESSAGE
METAL BOXES ARE STRONG,BOX BOX METAL STRONG
MICHAEL IS A PAINTER,M-I-C-H-A-E-L PAINTER
MILK IS WHITE IN COLOUR,MILK COLOUR WHITE
MILLENIUM IS A NICE COMPLEX,MILLENIUM COMPLEX NICE
MILLET FLOUR IS GOOD FOR PORRIDGE,PORRIDGE FLOUR MILLET GOOD
MILLET IS HEALTHY,MILLET HEALTHY
MINERALS ARE IMPORTANT FOR THE BODY,MINERAL MINERAL IMPORTANT BODY
MINISTERS ARE APPOINTED BY THE PRESIDENT,PRESIDENT MINISTER APPOINT
MITUMBA BUSINESS IS PROFITABLE,BUSINESS MITUMBA PROFIT A LOT HAVE
MIX THE FLOUR AND BAKE,FLOUR MIX SAME BAKE
MIX THE FRUITS,FRUIT FRUIT MIX
MIX THE PAINT THOROUGHLY,PAINT THOUGH MIX
MODERN BUSES HAVE BEEN MADE,NOW BUS BUS MODERN MAKE FINISH
MOI REGIME WAS GOOD,PAST REGIME MOI GOOD
MOI WAS THE PRESIDENT FOR A LONG TIME,TIME LONG M-O-I PRESIDENT 
MOI WAS THE SECOND PRESIDENT OF KENYA,KENYA PRESIDENT SECOND NAME M-O-I 
MOLO HAS A LOT OF POTATOES,POTATOES A LOT MOLO HAVE
MOMBASA IS A NICE PLACE,MOMBASA  PLACE NICE
MONEY IS GOOD,MONEY GOOD
MONEY IS KEPT IN THE BANK,BANK MONEY KEEP
MONEY KEPT IN BANKS ACCRUE INTEREST,MONEY BANK KEEP INTEREST ACCRUE
MONKEYS LAUGH LIKE HUMANS,MONKEY  MONKEY LAUGH SAME HUMAN  
MONKEYS LOVE BANANA,BANANA MONKEY MONKEY LOVE
MONKEYS LOVE BANANAS,BANANAS MONKEY LOVE
MOP MY OFFICE NOW,NOW OFFICE MINE MOP
MOSES OBEYED GOD,PAST GOD MOSES OBEY
MOSES SAW A BURNING BUSH,PAST BUSH BURN MOSES SEE
MOSES WAS A MAN OF GOD,PAST MOSES MAN GOD
MOSES WAS CALLED BY GOD,PAST MOSES GOD CALL
"MOSES WETANGULA, WHO IS THE SPEAKER OF PARLIAMENT WORKS A LOT",PARLIAMENT SPEAKER M-O-S-E-S W-E-T-A-N-G-U-L-A WORK A LOT
MOST ACCIDENTS ARE CAUSED BY CARELESSNESS,ACCIDENT MANY HAPPEN /WHY/CARELESSNESS
MOST ACCIDENTS ARE CAUSED BY CARELESSNESS,ACCIDENT MANY CARELESSNESS CAUSE
MOST ACCIDENTS ARE FATAL,ACCIDENT MOST FATAL TRUE
MOST BABIES SUCK THEIR THUMB,BABY MANY THUMB THEIR SUCK
MOST BOSSES RECEIVE BRIBES,BRIBE BRIBE BOSS MANY RECEIVE
MOST CROPS GROW IN HIGHLAND AREAS,CROP MANY AREA HIGHLAND GROW
MOST EMPLOYEES RETIRE AT SIXTY YEARS,YEAR SIXTY EMPLOYEE MANY RETIRE
MOST PEOPLE FROM TAVETA ARE BROWN,TAVETA PEOPLE  MANY BROWN 
MOST POLICEMEN TAKE BRIBES,BRIBE BRIBE  POLICE MANY TAKE
MOST POLITICIANS LOVE TRIBALISM,POLITICIAN MANY TRIBALISM LOVE
MOST PRESIDENTS ARE ELECTED BY THE PEOPLE,PRESIDENT MANY PEOPLE ELECT
MOTHER BID ME FAREWELL,PAST FAREWELL MOTHER BID
MOTHER EMPLOYED A HOUSE HELP LAST YEAR,YEAR LAST MOTHER HOUSE HELP EMPLOY
MOTHER GAVE ME MANY EARRINGS,PAST ME EARRING MANY MOTHER GIVE
MOTHER IS COOKING,NOW MOTHER COOK
MOTHER IS SCRUBBING THE FLOOR,NOW FLOOR MOTHER SCRUB
MOTHER WILL GO TO THE MARKET ON THURSDAY,THURDAY MARKET MOTHER GO
MOVE AWAY FROM THE BUILDING,BUILDING AWAY MOVE
MOVE AWAY FROM THE FALLING BUILDING,BUILDING FALL AWAY  MOVE
MOVE AWAY FROM THE FALLING BUILDING,BUILDING FALL AWAY MOVE
MOVE THAT AERIAL HIGHER,AERIAL THAT HIGH MOVE
MOVE THE CAR FAR,CAR FAR MOVE
MOVE THIS DESK AT THE BACK OF THE CLASS,DESK THIS MOVE CLASS AREA BACK
MOVE THIS DESK TO THE BACK OF THE CLASS,CLASS BACK DESK THIS MOVE
MOVE THIS DESK TO THE BACK OF THE CLASS,DESK THIS MOVE CLASS AREA BACK
MUCUS HELPS IN DIGESTION,DIGESTION MUCUS HELP
MULTIPLY,MULTIPLY
MULTIPLY 18 BY 64,18 MULTIPLY 64
MUM WAVED BYE AS SHE LEFT,TIME MUM LEAVE/BYE WAVE
MUMIAS TOWN HAS A SUGAR FACTORY,FACTORY SUGAR MUMIAS TOWN HAVE
MUMURS ARE NOT ALLOWED,MURMUR MURMUR ALLOW ZERO
MURA NG'A PASTOR PARKED HIS CAR AT THE ALTER AND TOLD THE CHRISTIANS TO TOUCH IT FOR THEM TO GET ALL THEIR NEEDS,MURANG'A PASTOR CHURCH ALTER CAR PARK /CHRISTIANS PASTOR TELL TOUCH WHY /NEED YOURS ALL CAR THAT POSSIBLE GIVE 
MURDER IS A SERIOUS CRIME,MURDER CRIME SERIOUS TRUE
MUSIC IS ENTICING,NOW MUSIC ENTICE
MUSIC SOOTHES THE MIND,MIND MUSIC SOOTH
MUSICIANS ARE FUNNY,MUSICIAN MUSICIAN FUNNY
MUSICIANS ARE TALENTED IN MUSIC,MUSIC MUSICIAN TALENT
MUSLIM WOMEN COVER THERE HEADS,WOMAN MUSLIM MUSLIM HEAD HEAD THERE COVER TRUE
MUSLIMS DO NOT EAT PORK,PORK MUSLISM EAT ZERO
MUSLIMS PRAY IN A MOSQUE,MOSQUE MUSLIM PRAY
MUSLIMS PRAY IN THE MOSQUE,MOSQUE MUSLIM MUSLIM PRAY
MUTUA WAS CAUTIONED NOT TO PUNCH OTHER BOYS,MUTUA WARN FINISH BOY OTHER PUNCH ZERO
MUTUA WAS CAUTIONED NOT TO PUNCH OTHER BOYS,BOY OTHER PUNCH NOTHING M-U-T-U-A CAUTION
MY ADVISOR IS NOT A GOOD PERSON,ADVISOR MINE PERSON GOOD ZERO
MY APRON IS LOST,APRON MINE LOST
MY AUNT ADOPTED A CHILD,PAST CHILD AUNT MINE ADOPT
MY AUNT FOLDED HER MAT WELL,PAST CARPET OUR AUNT FOLD
MY AUNT HAS A VISITOR,AUNT MINE VISITOR HAVE
MY AUNT IS CALM,AUNT MINE CALM
MY AUNT SHOWED ME HOW TO USE A COMPUTER,COMPUTER USE ME AUNT MINE SHOW
MY AUNTY HAS VISITORS,NOW VISITOR AUNT MINE HAVE
MY AUNTY IS FAT,AUNTY MINE FAT
MY AXE IS LOST,AXE MINE LOST
MY BABY CRIED,PAST BABY MINE CRY
MY BABY DOES NOT CRAWL,BABY MINE CRAWL ZERO
MY BABY IS COUGHING,BABY MINE COUGH
MY BABY IS CRYING,NOW BABY MINE CRY
MY BABY LOVES EGGS,BABY MINE EGG LOVE
MY BANK ACCOUNT HAS A LOT OF MONEY,MONEY A LOT BANK ACCOUNT MINE HAVE
MY BANK ACCOUNT HAS NO MONEY,BANK ACCOUNT MINE MONEY ZERO
MY BED IS COMFORTABLE,BED MINE COMFORTABLE
MY BICYCLE HAS NO PEDAL,BICYCLE MINE PEDAL NOTHING
MY BLOOD SUGAR IS LOW,BLOOD SUGAR MINE LOW
MY BLOUSE IS MADE OF COTTON,BLOUSE MINE COTTON MAKE
MY BODY HAS A LOT OF PARASITES,PARASITE MANY BODY MINE HAVE
MY BOOK IS INTERESTING,BOOK MINE INTERESTING
MY BOOK IS NEW,BOOK MINE NEW
MY BREAD HAS ENOUGH BUTTER,BUTTER ENOUGH BREAD MINE HAVE
MY BREAKFAST IS READY,BREAKFAST MINE READY
MY BROTHER CHALLENGED HIS OPPONENT,PAST OPPONENT HIS BROTHER MINE CHALLENGE
MY BROTHER HAS GRADUATED,BROTHER MINE GRADUATE FINISH
MY BROTHER HAS GRADUATED,BROTHER MINE GRADUATE FINISH 
MY BROTHER IS A DON,BROTHER MINE DON TRUE
MY BROTHER IS A JUDGE,BROTHER MINE JUDGE
MY BROTHER IS RUNNING HOME,NOW HOME BROTHER MINE RUN
MY BROTHER IS THIN,BROTHER MINE THIN
MY BROTHER LOVES BISCUITS,BISCUIT BROTHER MINE LOVE
MY BROTHER LOVES MISCHIEF,MISCHIEF BROTHER MINE LOVE
MY BROTHER SWALLOWED A BIG PIECE OF BREAD,PAST BREAD PIECE BIG BROTHER MINE SWALLOW 
MY BROTHER'S DREAM IS TO BECOME A PILOT,BROTHER MINE DREAM PILOT BECOME
MY BROTHER'S DREAM IS TO BECOME A PILOT,PILOT BECOME BROTHER MINE DREAM
MY BUSINESS HAS DEVELOPED,BUSINESS MINE DEVELOP FINISH
MY BUTTONS ARE BLUE,BUTTON BUTTON MINE GLUE
MY CALCULATOR IS LOST,CALCULATOR MINE LOST
MY CAT LOVES IT WHEN I SCRATCH HER BEHIND THE EARS,CAT MINE ENJOY TIME ME EAR BEHIND SCRATCH
MY CAT LOVES IT WHEN I SCRATCH HER BEHIND THE EARS,CAT MINE LOVE TIME EAR HER BEHIND ME SCRATCH
MY CHART IS BEAUTIFUL,CHART MINE BEAUTIFUL
MY CHILD IS SICK,CHILD MINE SICK
MY CHILD LIKED BUTTERFLIES,PAST CHILD MINE BUTTERFLIES LIKE
MY CHILDREN HAVE BAD BEHAVIOUR,CHILDREN MINE BEHAVIOUR BAD
MY CHILDREN HAVE STRIKE,CHILDREN MINE STRIKE FINISH
MY CLAN IS BIG,CLAN MINE BIG
MY CLASS RECEIVED A PRESENT TODAY,TODAY CLASS MINE PRESENT RECEIVE
MY CLOTH IS NYLON,CLOTH MINE NYLON TRUE
MY COAT IS HEAVY,COAT MINE HEAVY
MY COCK IS DEAD,COCK MINE DEAD
MY COLLEGE IS IN MIAMI,COLLEGE MINE MIAMI
MY COUNTRY IS KENYA,COUNTRY MINE KENYA
MY COUNTY IS MERU,COUNTY MINE MERU
MY COUSIN IS BACK,COUSIN MINE BACK
MY COUSIN RECEIVED A WONDERFUL GIFT LAST WEDNESDAY,LAST WEDNESDAY GIFT WONDERFUL COUSIN MINE RECEIVE
MY COUSINS BROUGHT ME MANY PRESENTS,PRESENT MANY COUSIN MINE BRING
MY DAD HAS FINALLY RETIRED,FINALLY DAD MINE RETIRE HAVE
MY DAD THREW HIS OLD BELT,PAST DAD MINE OLD BELT HIS THROW
MY DAUGHTER HAS ARRIVED,NOW DAUGHTER MINE ARRIVE
MY DAUGHTER IS APPROACHING TWENTY,NOW YEAR TWENTY DAUGHTER MINE APPROACH
MY DAUGHTER IS PLAYING WITH A DOLL,NOW DOLL DAUGHTER MINE PLAY
MY DAUGHTER LOVE FASHION,FASHION DAUGHTER MINE LOVE
MY DESIRE IS TO BE A POLITICIAN,DESIRE MINE POLITICIAN BECOME
MY DOG IS BROWN IN COLOUR,DOG MINE COLOUR BROWN
MY DOG IS TOO OLD,DOG MINE OLD TRUE
MY DRAWER IS FULL OF BOOKS,DRAWER MINE BOOK BOOK FULL
MY DRIVING LICENSE HAS EXPIRED,DRIVING LICENCE MINE EXPIRE FINISH
MY FACULTY IS EDUCATION,EDUCATION FACULTY MINE
MY FAMILY IS YOUNG,FAMILY MINE YOUNG
MY FAMILY LIVES IN A BUNGALOW IN TOWN,FAMILY MINE  TOWN BUNGALOW LIVE
MY FAMILY WILL OPEN A COSMETIC SHOP TOMORROW,TOMORROW SHOP COSMETIC FAMILY MINE OPEN
MY FATHER ALWAYS READ MAGAZINE,ALWAYS MAGAZINE FATHER MINE READ
MY FATHER AND OTHER POLISE MEN LIVE IN THE QUARTERS,FATHER MINE SAME POLICE OTHER QUARTERS LIVE
MY FATHER GAVE HIM THE MAJOR EXAMPLES,PAST EXAMPLE MAJOR HIM FATHER MINE GIVE
MY FATHER HAS A LOT OF WEALTH,WEALTH A LOT FATHER MINE HAVE
MY FATHER HAS GONE TO WORK,WORK FATHER MINE GO FINISH
MY FATHER HAS THIRTY SHEEP,SHEEP THIRTY FATHER MINE HAVE
MY FATHER HAS TWENTY COWS AND TWO HENS,COW  TWENTY SAME HEN TWO FATHER MINE HAVE 
MY FATHER HATES UGALI,UGALI FATHER MINE HATE
MY FATHER IN-LAW IS A GOOD PERSON,FATHER-IN-LAW MINE PERSON GOOD
MY FATHER IS A HUMBLE MAN,FATHER MINE HUMBLE
MY FATHER IS A JUDGE,FATHER MINE JUDGE
MY FATHER IS A KING,FATHER MINE KING
MY FATHER IS A LECTURER,FATHER MINE LECTURER
MY FATHER IS A PROFESSOR,FATHER MINE PROFESSOR
MY FATHER IS A TEACHER,FATHER MINE TEACHER
MY FATHER IS FISHING,FATHER  MY FISHING
MY FATHER IS READING A MAGAZINE,NOW MAGAZINE FATHER MINE READ
MY FATHER IS TALL,FATHER MINE TALL
MY FATHER IS WISE,FATHER MINE WISE
MY FATHER LIKES BITTER CHANGAA,CHANGAA BITTER FATHER MINE LIKE
MY FATHER LOVES COFFEE WITHOUT MILK,COFFEE MILK NOTHING FATHER MINE LOVE
MY FATHER RESIGNED LAST MONTH,MONTH LAST FATHER MINE RESIGN
MY FATHER TRAVELLED TO TOWN BUT HE DID NOT TELL US,FATHER MINE TOWN TRAVEL BUT HE TELL US NOTHING
MY FATHER WAS PROMOTED AT WORK TODAY,TODAY WORK HIS FATHER MINE PROMOTE
MY FATHER WILL BE THE GUEST OF HONOR,FUTURE FATHER MINE GUEST HONOUR
MY FATHER WILL REMARRY,FUTURE FATHER MINE AGAIN MARRY
MY FATHER WILL START A BUSINESS NEXT YEAR,YEAR NEXT BUSINESS FATHER MINE START
MY FATHER WORKS IN THAT LABORATORY,LABORATORY THAT FATHER MINE WORK
MY FATHER-IN-LAW IS A LAWYER,FATHER-IN-LAW MINE LAWYER
MY FATHER'S HEALTH IS DETERIORATING,NOW FATHER MINE HEALTH HIS DETERIORATE
MY FATHER'S WALLET IS LOST,FATHER MINE WALLET HIS LOST
MY FAVOURITE TYPE OF MUSIC IS CLASSICAL,MUSIC TYPE FAVOURITE MINE NAME CLASSICAL
MY FIANC'E WENT TO COLLAGE,PAST FIANCEE MINE COLLAGE GO
MY FIANCEE WILL TRAVEL TO NAIROBI TONIGHT,TONIGHT /FIANCEE MINE NAIROBI TRAVEL
MY FIRST DAY AT SWIMMING WAS FANTASTIC,DAY ONE ME SWIM SAME FANTASTIC
MY FIRST DAY AT SWIMMING WAS FULL OF FANTASY,DAY FIRST ME SWIM FANTASY FULL
MY FLASK IS FULL OF HOT SWEET TEA,FLASK MINE TEA HOT SAME SWEET FULL
MY FOOT IS PAINFUL,FOOT MINE PAINFUL
MY FRAME NEEDS SOME REPAIR,FRAME MINE REPAIR SOME NEED
MY FRIDGE IS NOT WORKING,NOW FRIDGE MINE WORK ZERO
MY FRIDGE IS PRODUCING SOME STRANGE SOUNDS,SOUND STRANGE FRIDGE MINE PRODUCE
MY FRIEND AND I ARE GOING TO CHURCH,NOW CHURCH ME SAME FRIEND MINE GO
MY FRIEND HAS FAINTED,PAST FRIEND MINE FAINT TRUE
MY FRIEND IS MARY,FRIEND MINE M-A-R-Y
MY FRIEND LIVE IN KAJIADO,KAJIADO THERE FRIEND MINE LIVE
MY FRIEND PROMISED TO FIX ME A DELICIOUS DINNER,DINNER DELICIOUS ME FIX FRIEND MINE PROMISE
MY FRIEND PROMISED TO FIX ME A DELICIOUS DINNER,MEAL DELICIOUS FRIEND MINE PROMISE COOK
MY GARDEN HAS BEAUTIFUL FLOWERS,FLOWER BEAUTIFUL GARDEN MINE HAVE
MY GOAT IS DEAD,GOAT MINE DEAD
MY GOOSE HAS LAID AN EGG,GOOSE MINE EGG LAY
MY GOVERNOR WENT TO ENGLAND,PAST ENGLAND GOVERNOR MINE GO
MY GRANDFATHER HARVESTED HONEY FROM THAT BEE HIVE,PAST BEEHIVE THAT GRANDFATHER MINE HONEY HARVEST
MY GRANDFATHER IS USING CRUTCHES,GRANDFATHER MINE CRUTCH USE
MY GRANDFATHER LOVES TOBACCO,GRANDFATHER MINE TOBACCO LOVE
MY GRANDMOTHER COOKS USING POT,ALWAYS COOK POT GRANDMOTHER MINE USE
MY GRANDMOTHER HAS A NICE TABLE CLOTH,TABLE CLOTH NICE GRANDMOTHER MINE HAVE
MY GRANDMOTHER HAS A SMALL KITCHEN,KITCHEN SMALL GRANDMOTHER MINE HAS
MY GRANDMOTHER HAS A SMARTPHONE,SMARTPHONE GRANDMOTHER MINE HAVE
MY GRANDMOTHER HAS BOUGHT LAND IN MOLO,MOLO THERE LAND GRANDMOTHER MINE BUY FINISH
MY GRANDMOTHER IS GOING TO THE FARM TO WEED,NOW FARM GRANDMOTHER MINE GO WEED WANT
MY GRANDMOTHER IS TIRED/ SHE CANNOT WALK//,GRANDMOTHER MINE TIRED WALK ZERO
MY GRANDMOTHER KNOWS HOW TO TWIST HER TONGUE,TONGUE TWIST /HOW/ GRAND MOTHER MINE KNOW
MY GRANDMOTHER LIVES IN BUTERE,BUTERE GRANDMOTHER MINE LIVE
MY GRANDMOTHER LOVES STORIES,STORY STORY GRANDMOTHER MINE LOVE
MY GRANDMOTHER MAKES NICE CROTCHETS,CROTCHET NICE GRANDMOTHER MINE MAKE
MY GRANDMOTHER TELLS NICE STORIES,ALWAYS STORY NICE GRANDMOTHER MINE TELL
MY GRANDMOTHER WAS AWAKE/ALERT WHEN IT STARTED RAINING,PAST TIME RAIN START GRANDMOTHER MINE AWAKE/ALERT
MY GRANDPARENTS DO NOT KNOW YOGHURT,YOGHURT GRANDPARENT MINE KNOW NOTHING
MY GUMS ARE ACHING,NOW GUM GUM MINE ACHE
MY HAND IS FLAT,HAND MINE FLAT
MY HANDBAG IS BLACK,HANDBAG MINE BLACK
MY HEELS ARE PAINFUL,HEEL MINE PAIN
MY HEN IS EATING MAIZE,NOW HEN MINE MAIZE EAT
MY HOBBY IS SWIMMING AND COOKING,SWIM SAME COOK HOBBY MINE
MY HOME AREA IS BARREN,HOME AREA MINE BARREN
MY HOME IS EXPERIENCING DROUGHT,HOME MY DROUGHT EXPERIENCE
MY HOUSE IS BIG,HOUSE MINE BIG
MY HOUSE IS NEAR THE MOSQUE,MOSQUE HOUSE MINE  NEAR
MY HOUSE IS OCCUPIED,HOUSE MY OCCUPIED
MY HUSBAND IS HANDSOME,HUSBAND MINE HANDSOME
MY HUSBAND WANTS A NEW JOB,JOB NEW HUSBAND MINE WANT
MY IDENTIFICATION CARD IS LOST,IDENTIFICATION CARD MINE LOST
MY IMMUNITY IS LOW,IMMUNITY MINE LOW
MY INCOME IS SMALL,INCOME MINE SMALL
MY INSTINCTS NEVER LIE,INSTINCT INSTINCT MINE LIE ZERO
MY INTEREST IS IN SIGN LANGUAGE,SIGN LANGUAGE INTEREST MINE 
MY JACKET IS NEW,JACKET MINE NEW
MY KITCHEN HAS NO SHELVES,KITCHEN MINE SHELVE HAVE ZERO
MY KITCHEN IS SMALL,KITCHEN MINE SMALL
MY KNIFE IS SHARP,KNIFE MINE SHARP
MY LAND HAS MANY ROCKS,ROCK A LOT LAND MINE HAVE
MY LAND IS FERTILE,LAND MINE FERTILE
MY LAND IS FLAT,LAND MINE FLAT
MY LAND IS PLAIN,LAND MINE PLAIN
MY LANDLORD IS KIND,LANDLORD MINE KIND
MY LANGUAGE IS DIFFICULT TO UNDERSTAND,LANGUAGE MINE UNDERSTAND DIFFICULT
MY LANGUAGE IS KISWAHILI,LANGUAGE MINE KISWAHILI
MY LAWYER WANTS A LOT OF MONEY,MONEY A LOT LAWYER MINE WANT
MY LEG IS SWOLLEN,LEG MINE SWELL
MY LEG IS THIN,LEG MINE THIN
MY LINEAGE IS GOOD,LINEAGE MINE GOOD
MY MAID ESCAPED TODAY,TODAY MAID MINE ESCAPE
MY MAIDNESCAPED TODAY,TODAY MAID MINE ESCAPE
MY MEMORY CARD IS FULL,MEMORY CARD MINE FULL
MY METHOD IS BETTER,METHOD MINE BETTER
MY MIND IS FAR,NOW MIND MINE FAR
MY MIRROR IS BROKEN,MIRROR MINE BREAK FINISH
MY MOOD TODAY IS BAD,TODAY MOOD MINE BAD
MY MOTHER EMPLOYED A HOUSE HELP LAST YEAR,YEAR LAST HOUSE HELP MOTHER MINE  EMPLOY
MY MOTHER HAS A LAPTOP COMPUTER,LAPTOP COPUTER MOTHER MINE HAVE
MY MOTHER HAS TWO BANK ACCOUNTS,BANK ACCOUNT TWO MOTHER MINE HAVE
MY MOTHER IN Ã‚â‚¬â€œ LAW IS COMING,NOW MOTHER-IN-LAW MINE COME
MY MOTHER IS ALWAYS UPSET,ALWAYS MOTHER MINE UPSET
MY MOTHER IS BAKING A CAKE,NOW CAKE MOTHER MINE BAKE
MY MOTHER IS COOKING FISH,NOW FISH MOTHER MINE COOK
MY MOTHER IS NOT FRIENDLY,MOTHER MINE FRIENDLY ZERO
MY MOTHER IS READING THE BIBLE,NOW BIBLE MOTHER MINE READ
MY MOTHER IS VERY HARSH,MOTHER MINE HARSH TRUE
MY MOTHER LOVES AGRICULTURE,AGRICULTURE MOTHER MINE LOVE
MY MOTHER LOVES PEOPLE,MOTHER MINE PEOPLE LOVE
MY MOTHER PREFERS STAYING IN TOWN,TOWN MOTHER MINE PREFER STAY
MY MOTHER TEACHES JUNIOR PRIMARY STUDENTS,JUNIOR PRIMARY STUDENT MOTHER MINE TEACH
MY MOTHER USES TEN LITRES OF OIL EACH MONTH,ALWAYS MONTH EACH OIL LITRE TEN MOTHER MINE USE
MY MOTHER WAS CURIOUS TO MEET MY FRIEND JANET,MOTHER MINE CURIOUS TIME FRIEND MINE J-A-N-E-T MEET
MY MOTHER WAS CURIOUS TO MEET MY FRIEND JANET,PAST FRIEND MINE J-A-N-E-T MOTHER MINE CURIOUS MEET
MY MOTHER WORKS AT THE GROCERY,GROCERY THERE MOTHER MINE WORK
MY MOTHER-IN-LAW IS A GOOD LADY,MOTHER-IN-LAW MINE LADY GOOD
MY MOTHER'S SKIRT IS SMART,SKIRT MOTHER MINE SMART
MY MUSCLES ARE ACHING,MUSCLE MINE ACHE
MY NAME IS ANNE,NAME MINE A-N-N-E
MY NEIGHBOR IS HARSH,NEIGHBOUR MINE HARSH
MY NEPHEW IS DEAD,NEPHEW MINE DEAD
MY NIECE IS ALWAYS DESPERATE,ALWAYS NIECE MINE DESPERATE
MY NIECE LOVES RELAXING UNDER THAT TREE,ALWAYS RELAX TREE UNDER NICE MINE LOVE
MY OFFICE HAS TO BE CLEAN,OFFICE MINE CLEAN MUST
MY OPINION IS NOT IMPORTANT,OPINION MINE IMPORTANT ZERO
MY OPINION WAS THAT WE PULL RESOURCES TOGETHER FOR A COMMON MEAL,OPINION  MINE RESOURCE ALL TOGETHER PULL POSSIBLE MEAL COMMON US HAVE
MY OPINION WAS THAT WE PULL RESOURCES TOGETHER FOR A COMMON MEAL,OPINION MINE RESOURCE TOGETHER US PULL MEAL COMMON HAVE
MY PARENTS ARE OLD,PARENTS MINE OLD
MY PARENTS WILL VISIT DURING THE CELEBRATIONS,FUTURE DURING CELEBRATION PARENT MINE VISIT
MY PARTY IS KANU,KANU PARTY MINE
MY PEN IS LOST,PEN MINE LOST
MY PENCIL IS RED,PENCIL MINE RED
MY PHONE HAS NO NETWORK,PHONE MINE NETWORK NOTHING
MY PILLOW IS TORN,PILLOW MINE TORN
MY PRINTER HAS BROKEN DOWN,PRINTER MINE DOWN BREAK
MY PULSE RATE INCREASED,PULSE RATE MINE INCREASE TRUE
MY RED BAG IS LOST,BAG MINE RED LOST
MY ROOM HAS A MIRROR,ROOM MINE MIRROR HAVE
MY ROOM HAS NO CHAIR,ROOM MINE CHAIR NOTHING
MY RULER IS BROKEN,RULER MINE BREAK FINISH
MY SALARY HAS DELAYED,SALARY MINE DELAY TRUE
MY SCHOOL IS BEAUTIFUL,SCHOOL MINE BEAUTIFUL TRUE
MY SHIRT IS CLASSIC,SHIRT MINE CLASSIC TRUE
MY SHIRT IS OLD,SHIRT MINE OLD TRUE
MY SHOES ARE CLEAN,SHOE SHOE MINE CLEAN
MY SHOULDER IS HURTING,SHOULDER MINE HURT
MY SIGN LANGUAGE LECTURER IS GOOD,SIGN LANGUAGE LECTURER MINE GOOD
MY SISTER AND I DANCED DURING PRIZE GIVING DAY,DURING PRIZE GIVING DAY/ME SAME SISTER MINE DANCED
MY SISTER BOUGHT A LOAF OF BREAD,PAST BREAD SISTER MINE BUY
MY SISTER COMMITTED SUICIDE WHEN HER HUSBAND DIED,PAST SUICIDE SISTER MINE COMMIT TIME HUSBAND HERS DIE
MY SISTER DISCOVERED WHERE MOTHER HAD GONE,PAST MOTHER GO WHERE  SISTER MINE DISCOVER
MY SISTER HAS GONE TO THE HOSPITAL,SISTER MINE HOSPITAL GO FINISH
MY SISTER IS A NUN,SISTER MINE NUN
MY SISTER IS AN ACTRESS,SISTER MINE ACTRESS
MY SISTER IS DANCING,NOW SISTER MINE DANCE
MY SISTER IS IN SCHOOL,NOW SCHOOL SISTER IN
MY SISTER IS TALL,SISTER MINE TALL
MY SISTER IS THE SMARTEST IN HER SCHOOL,SCHOOL HERS SISTER MINE SMART MORE
MY SISTER IS WEAK,SISTER MINE WEAK
MY SISTER MARRIED IN ZIMBABWE,ZIMBABWE THERE SISTER MINE MARRY
MY SISTER PICKED MONEY NEXT TO THE TREE WHEN SHE WAS DIGGING,PAST TIME SISTER MINE DIG/MONEY TREE NEXT PICK
MY SISTER WAS BURIED AT THE CEMETERY,PAST CEMETERY THERE SISTER MINE BURRY
"MY SISTER WAS VERY STUBBORN, NOBODY WANTED HER IN THEIR GROUP",GROUP MEMBER ALL SISTER MINE WANT ZERO WHY STUBBORN A LOT
"MY SISTER WAS VERY STUBBORN, NOBODY WANTED HER IN THEIR GROUP",PAST SISTER MINE STUBBORN A LOT/GROUP GROUP HER PEOPLE WANT NOTHING
MY SISTER WORKS IN A AN AIRCRAFT,AIRCRAFT IN SISTER MINE WORK
MY SISTER'S HUSBAND IS KALENJIN,HUSBAND SISTER MINE KALENJIN
MY SON CARRIED A SANDWICH IN HIS BAG,PAST BAG HIS SANDWICH SON MINE CARRY
MY SON HAS EATEN ALL THE CAKE,CAKE ALL SON MINE EAT FINISH
MY SON IS CLEVER,SON MINE CLEVER
MY SON IS IN GRADE TWO,SON MINE GRADE TWO
MY SON WILL POLISH HIS SHOES TOMORROW,TOMORROW SHOES SON MINE POLISH
MY STOMACH IS EMPTY,STOMACH MINE EMPTY
MY STOMACH IS FULL,STOMACH MINE FULL
MY STORY IS ABOUT THE HARE,STORY MINE ABOUT HARE
MY SUGGESTION WAS IGNORED,PAST SUGGESTION MINE THEY IGNORE
MY TEA IS HOT,TEA MINE HOT
MY TEACHER ALWAYS WORK HARD,ALWAYS TEACHER MINE WORK HARD
MY TEACHER HAS INVENTED A NEW METHODOLOGY OF CALCULATING THE SURFACE AREA OF A TRIANGLE,SURFACE AREA TRIANGLE CALCULATE HOW METHOD NEW TEACHER MINE INVENT
MY TEACHER HAS INVENTED A NEW METHODOLOGY OF CALCULATING THE SURFACE AREA OF A TRIANGLE,TRIANGLE SURFACE AREA CALCULATE HOW TEACHER MINE METHODOLOGY NEW INVENT FINISH  
MY TEACHER IS WISE,TEACHER MINE WISE
MY TEST RESULTS WILL BE SENT ONLINE,FUTURE TEST RESULT MINE ONLINE SEND
MY THUMB IS PAINFUL,THUMB MINE PAINFUL
MY TOOTHBRUSH IS DIRTY,TOOTHBRUSH MINE DIRTY
MY TOWN IS KISUMU,TOWN MINE KISUMU
MY TROUSER HAS FOUR POCKETS,POCKET FOUR TROUSER MINE HAVE
MY TROUSER IS GREY,TROUSER MINE GREY
MY TROUSERS ARE TONE,TROUSER TROUSER MINE TEAR FINISH
